,restaurant_name,link_to_restaurant,category,review_count
0,L’Afghanistan,https://www.yelp.fr/biz/l-afghanistan-paris,Afghan,46
1,Buzkashi,https://www.yelp.fr/biz/buzkashi-paris-3,Afghan,20
2,Afghani,https://www.yelp.fr/biz/afghani-paris-2,Afghan,45
3,La Table Afghane,https://www.yelp.fr/biz/la-table-afghane-paris,Afghan,4
4,Kootchi,https://www.yelp.fr/biz/kootchi-paris-2,Afghan,14
5,Kabul Kitchen,https://www.yelp.fr/biz/kabul-kitchen-paris,Afghan,1
7,Moussa l’Africain,https://www.yelp.fr/biz/moussa-l-africain-paris-3,Cuisine africaine,8
8,African Kitchen,https://www.yelp.fr/biz/african-kitchen-paris,Cuisine africaine,12
10,Waly-Fay,https://www.yelp.fr/biz/waly-fay-paris-2,Cuisine africaine,82
11,Le Khelkom,https://www.yelp.fr/biz/le-khelkom-paris,Cuisine africaine,12
12,Le Djoliba,https://www.yelp.fr/biz/le-djoliba-paris,Cuisine africaine,5
13,Chez Zeyna,https://www.yelp.fr/biz/chez-zeyna-paris,Cuisine africaine,4
14,New Soul Food,https://www.yelp.fr/biz/new-soul-food-paris,Cuisine africaine,6
15,Babone,https://www.yelp.fr/biz/babone-paris,Cuisine africaine,1
16,Afrik’N’Fusion 20ème,https://www.yelp.fr/biz/afrik-n-fusion-20%C3%A8me-paris,Cuisine africaine,17
17,BMK Paris-Bamako,https://www.yelp.fr/biz/bmk-paris-bamako-paris,Cuisine africaine,4
18,Le Petit Dakar,https://www.yelp.fr/biz/le-petit-dakar-paris,Cuisine africaine,20
19,Yorubar - La Rivière Exotique,https://www.yelp.fr/biz/yorubar-la-rivi%C3%A8re-exotique-drancy,Cuisine africaine,1
20,Le Sunugal,https://www.yelp.fr/biz/le-sunugal-paris,Cuisine africaine,1
21,A La Banane Ivoirienne,https://www.yelp.fr/biz/a-la-banane-ivoirienne-paris,Cuisine africaine,28
22,African Lounge,https://www.yelp.fr/biz/african-lounge-paris-2,Cuisine africaine,12
23,Le Marabout,https://www.yelp.fr/biz/le-marabout-paris,Cuisine africaine,1
24,Le Palanka,https://www.yelp.fr/biz/le-palanka-paris,Cuisine africaine,14
25,Restaurant Godjo,https://www.yelp.fr/biz/restaurant-godjo-paris-2,Cuisine africaine,135
26,Oh Africa,https://www.yelp.fr/biz/oh-africa-paris-3,Cuisine africaine,3
27,Le Griot,https://www.yelp.fr/biz/le-griot-paris-2,Cuisine africaine,1
28,Afrik’N’Fusion 18ème,https://www.yelp.fr/biz/afrik-n-fusion-18%C3%A8me-paris,Cuisine africaine,5
29,Osè,https://www.yelp.fr/biz/os%C3%A8-paris-4,Cuisine africaine,12
30,Zanzibar,https://www.yelp.fr/biz/zanzibar-paris,Cuisine africaine,2
31,Les Marmites de Fa,https://www.yelp.fr/biz/les-marmites-de-fa-paris,Cuisine africaine,1
32,Le Pré Vert,https://www.yelp.fr/biz/le-pr%C3%A9-vert-paris-4,Cuisine africaine,2
34,Les Délices du Sacré-Coeur,https://www.yelp.fr/biz/les-d%C3%A9lices-du-sacr%C3%A9-coeur-paris,Cuisine africaine,4
35,Au braisé d’Or,https://www.yelp.fr/biz/au-brais%C3%A9-d-or-paris,Cuisine africaine,2
36,Porokhane,https://www.yelp.fr/biz/porokhane-paris,Cuisine africaine,20
37,La Pointe des Almadies,https://www.yelp.fr/biz/la-pointe-des-almadies-paris,Cuisine africaine,5
39,La Forêt Noire,https://www.yelp.fr/biz/la-for%C3%AAt-noire-paris,Cuisine africaine,2
40,Taif,https://www.yelp.fr/biz/taif-paris,Cuisine africaine,1
41,La Villa Maasaï,https://www.yelp.fr/biz/la-villa-maasa%C3%AF-paris,Cuisine africaine,3
42,Niébé,https://www.yelp.fr/biz/ni%C3%A9b%C3%A9-paris,Cuisine africaine,8
43,MICA,https://www.yelp.fr/biz/mica-paris-3,Cuisine africaine,1
44,Fifa,https://www.yelp.fr/biz/fifa-paris-2,Cuisine africaine,1
45,Le P’tit Père,https://www.yelp.fr/biz/le-p-tit-p%C3%A8re-paris,Cuisine africaine,2
46,La Braise Dorée,https://www.yelp.fr/biz/la-braise-dor%C3%A9e-paris,Cuisine africaine,5
47,Le Bouillon des Colonies,https://www.yelp.fr/biz/le-bouillon-des-colonies-paris,Cuisine africaine,27
48,Le Village,https://www.yelp.fr/biz/le-village-paris-14,Cuisine africaine,59
49,L’Alocodrome,https://www.yelp.fr/biz/l-alocodrome-paris,Cuisine africaine,1
50,Le Djoloff,https://www.yelp.fr/biz/le-djoloff-paris,Cuisine africaine,1
51,Zango,https://www.yelp.fr/biz/zango-paris-4,Cuisine africaine,163
52,Jambo,https://www.yelp.fr/biz/jambo-paris-3,Cuisine africaine,15
53,O’maki,https://www.yelp.fr/biz/o-maki-paris-2,Cuisine africaine,9
54,Madiba,https://www.yelp.fr/biz/madiba-paris,Cuisine africaine,2
55,Le Malibu,https://www.yelp.fr/biz/le-malibu-paris,Cuisine africaine,1
56,Au Clair de Lune,https://www.yelp.fr/biz/au-clair-de-lune-paris-6,Cuisine africaine,33
57,Restaurant Nioumre Franco Africain,https://www.yelp.fr/biz/restaurant-nioumre-franco-africain-paris,Cuisine africaine,11
58,Le Nilaja,https://www.yelp.fr/biz/le-nilaja-paris,Cuisine africaine,6
59,Le Fouta Djalon,https://www.yelp.fr/biz/le-fouta-djalon-paris-03,Cuisine africaine,7
60,24 Zones,https://www.yelp.fr/biz/24-zones-paris,Cuisine africaine,1
61,Morabeza,https://www.yelp.fr/biz/morabeza-paris-3,Cuisine africaine,2
62,Ohinéné,https://www.yelp.fr/biz/ohin%C3%A9n%C3%A9-paris-20-3,Cuisine africaine,5
63,Bona Suzy,https://www.yelp.fr/biz/bona-suzy-paris,Cuisine africaine,5
65,La Gazelle,https://www.yelp.fr/biz/la-gazelle-paris-5,Cuisine africaine,29
66,Le Djembé,https://www.yelp.fr/biz/le-djemb%C3%A9-paris,Cuisine africaine,5
67,Yan Kady Chez Fatou,https://www.yelp.fr/biz/yan-kady-chez-fatou-montreuil-sous-bois,Cuisine africaine,4
69,Mama Africa,https://www.yelp.fr/biz/mama-africa-paris-3,Cuisine africaine,1
70,Le Vent De Sable,https://www.yelp.fr/biz/le-vent-de-sable-paris,Cuisine africaine,11
72,La Bièvre - Chez Nacef,https://www.yelp.fr/biz/la-bi%C3%A8vre-chez-nacef-paris-2,Cuisine africaine,4
73,Le Coq Noir,https://www.yelp.fr/biz/le-coq-noir-clichy,Cuisine africaine,9
75,Entoto,https://www.yelp.fr/biz/entoto-paris,Cuisine africaine,34
77,Ménélik,https://www.yelp.fr/biz/m%C3%A9n%C3%A9lik-paris-2,Cuisine africaine,72
78,L’Étoile d’Afrique,https://www.yelp.fr/biz/l-%C3%A9toile-d-afrique-paris,Cuisine africaine,3
80,Le Negus,https://www.yelp.fr/biz/le-negus-paris-3,Cuisine africaine,49
81,Massawa,https://www.yelp.fr/biz/massawa-paris,Cuisine africaine,29
82,Le Kokoriko,https://www.yelp.fr/biz/le-kokoriko-paris,Cuisine africaine,1
83,Evasion,https://www.yelp.fr/biz/evasion-paris,Cuisine africaine,1
86,Café Cacao,https://www.yelp.fr/biz/caf%C3%A9-cacao-aubervilliers-2,Cuisine africaine,1
87,L’Art Home,https://www.yelp.fr/biz/l-art-home-paris,Cuisine africaine,3
88,Saga Afrika,https://www.yelp.fr/biz/saga-afrika-paris,Cuisine africaine,1
89,Le Manguier,https://www.yelp.fr/biz/le-manguier-paris,Cuisine africaine,18
90,Mini-Resto,https://www.yelp.fr/biz/mini-resto-paris,Cuisine africaine,1
92,Le Mono,https://www.yelp.fr/biz/le-mono-paris-2,Cuisine africaine,17
93,Albarino Passy,https://www.yelp.fr/biz/albarino-passy-paris-2,Cuisine africaine,14
94,Black & White,https://www.yelp.fr/biz/black-et-white-paris,Cuisine africaine,1
96,Aoi Sushi,https://www.yelp.fr/biz/aoi-sushi-paris,Cuisine africaine,4
97,Bangou,https://www.yelp.fr/biz/bangou-paris,Cuisine africaine,3
98,Best Africa,https://www.yelp.fr/biz/best-africa-paris-2,Cuisine africaine,1
99,Chez Dom,https://www.yelp.fr/biz/chez-dom-paris,Cuisine africaine,9
100,Magic Afrique,https://www.yelp.fr/biz/magic-afrique-paris,Cuisine africaine,2
102,Monte D’Cara,https://www.yelp.fr/biz/monte-d-cara-paris,Cuisine africaine,1
103,Le Sawa,https://www.yelp.fr/biz/le-sawa-paris-14,Cuisine africaine,7
104,Au Coco de Mer,https://www.yelp.fr/biz/au-coco-de-mer-paris,Cuisine africaine,70
105,L’Equateur,https://www.yelp.fr/biz/l-equateur-paris,Cuisine africaine,28
106,Le Lemurien de Madagascar,https://www.yelp.fr/biz/le-lemurien-de-madagascar-montrouge-2,Cuisine africaine,6
107,Tako Traiteur,https://www.yelp.fr/biz/tako-traiteur-paris,Cuisine africaine,1
108,Leupaleup,https://www.yelp.fr/biz/leupaleup-paris,Cuisine africaine,2
